Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted,,,,47
2019,Florida,Legislation,SB 6,,http://www.flsenate.gov/Session/Bill/2019/00006,Signed by the Governor - 04/04/2019,"This bill would delete the requirement in statute that the Florida College System institution and state university board of trustees examine the cost of textbooks and instructional materials each semester for all general education courses offered. This section was set to be repealed on July 1, 2018, unless reviewed and saved from repeal through reenactment by the Legislature.",Benacquisto,Higher Ed,No,Yes,,,,
2019,Florida,Legislation,SB 190,,http://www.flsenate.gov/Session/Bill/2019/00190,Signed by the Governor - 06/18/2019,"This bill would require the Board of Governors to develop a training program for trustees which addresses the role of university board of trustees in governing institutional resources and protecting the public interest. This would require training related to establishing policies that promote college affordability, including ensuring the costs of university fees, textbooks, and instructional materials are minimized whenever possible.","Appropriations, Stargel",Higher Ed,No,Yes,,,,
2017,Florida,Adjourned,SB 374,HB 929,http://www.flsenate.gov/Session/Bill/2017/00374,Vetoed by Governor - 06/014/2017,"This bill requires the Board of Governors and State Board of Community Colleges to identify strategies to promote college affordability by evaluating the costs of textbooks and instructional materials. Further, this bill requires each Florida Community College System institution and state university to post a list of textbooks for each required course - and the State Board of Community Colleges and the Board of Governors shall adopt textbook and instructional materials affordability policies, procedures, and guidelines. These policies shall address, among other topics, the extent to which an open-access textbook or instructional material is available, and the participation by course instructors and departments in the development, adaptation, and review of open-access textbooks. ",Hukill,Higher Ed,Yes,No,,,,
2017,Florida,Adjourned,SB 1210,HB 989,http://www.flsenate.gov/Session/Bill/2017/01210,"Introduced - 03/07/2017

CS by Education - 03/27/2017

CS passed by Appropriations - 04/20/2017

Substituted HB989, laid on table, refer to HB989 - 05/03/2017","This bill addresses K-12 instructional materials. First, it defines ""instructional materials"" which may include textbooks, online or internet coureses, multiple forms of communication, and electronic media, among others. This bill states the district school board has the constitutional duty and responsibility to select and provide adequate instructional materials for all students. The bill then amends existing law: wheneever purchased instructional materials are discussed, ""leased"" and ""licensed"" is also added as a descriptor. ",Lee,K-12,No,No,,,,
2017,Florida,Adjourned,HB 989,SB 1210,http://www.flsenate.gov/Session/Bill/2017/00989/?Tab=BillText,Signed by Governor - 06/26/2017,"This bill addresses K-12 instructional materials. First, it defines ""instructional materials"" which may include textbooks, online or internet coureses, multiple forms of communication, and electronic media, among others. This bill states the district school board has the constitutional duty and responsibility to select and provide adequate instructional materials for all students. The bill then amends existing law: whenever purchased instructional materials are discussed, ""leased"" and ""licensed"" is also added as a descriptor.",Donalds,K-12,No,Yes,,,,
2017,Florida,Adjourned,HB 929,SB 374,http://www.flsenate.gov/Session/Bill/2017/00929,Died in Education Committee - 05/08/2017,"This bill requires the Board of Governors and State Board of Community Colleges to identify strategies to promote college affordability by evaluating the costs of textbooks and instructional materials. Further, this bill requires each Florida Community College System institution and state university to post a list of textbooks for each required course - and the State Board of Community Colleges and the Board of Governors shall adopt textbook and instructional materials affordability policies, procedures, and guidelines. These policies shall address, among other topics, the extent to which an open-access textbook or instructional material is available, and the participation by course instructors and departments in the development, adaptation, and review of open-access textbooks. ",Raburn,Higher Ed,Yes,No,,,,
2018,Florida,Legislation,HB 831,SB 540,http://www.flsenate.gov/Session/Bill/2018/00831/?Tab=BillHistory,Indefinitely postponed and withdrawn from consideration - 03/10/2018,"This bill removes the Division of Florida Colleges from within the Department of Education and creates the State Board of Community Colleges. This then edits existing statutes regarding textbooks. Now it is the responsibility of the State Board of Community Colleges to adopt textbook and instructional materials affordability policies, procedures, and guidelines for implementation by Florida Community College System institutions and state universities.  This bill would require the State Board of Community Colleges to consider the selection of textbooks and instructional materials through cost-benefit analyses that enable students to obtain the highest-quality product at the lowest available price by considering buying digital textbooks in bulk, expanding the use of open-access textbooks, among others.",Gruters,Higher Ed,Yes,No,,,,
2018,Florida,Legislation,SB 540,HB 831,http://www.flsenate.gov/Session/Bill/2018/00540,"Indefinitely postponed and withdrawn from consideration, Died on Calendar - 03/10/2018

","This bill removes the Division of Florida Colleges from within the Department of Education and creates the State Board of Community Colleges. This then edits existing statutes regarding textbooks. Now it is the responsibility of the State Board of Community Colleges to adopt textbook and instructional materials affordability policies, procedures, and guidelines for implementation by Florida Community College System institutions and state universities.  This bill would require the State Board of Community Colleges to consider the selection of textbooks and instructional materials through cost-benefit analyses that enable student to obtain the highest-quality product at the lowest available price by considering buying digital textbooks in bulk, expanding the use of open-access textbooks, among others.",Hukill,Higher Ed,Yes,No,,,,
2019,Florida,Legislation,SB 1744,,http://www.flsenate.gov/Session/Bill/2019/01744,Indefinitely postponed and withdrawn from consideration - Died in Education - 05/03/2019,"This bill would require the Board of Governors to develop a training program for trustees which addresses the role of university board of trustees in governing institutional resources and protecting the public interest. This would require training related to establishing policies that promote college affordability, including ensuring the costs of university fees, textbooks, and instructional materials are minimized whenever possible.",Baxley,Higher Ed,No,No,,,,
2017,Georgia ,Adjourned,HB 524,,http://www.legis.ga.gov/Legislation/en-US/display/20172018/HB/524,"Introduced - 02/28/2017

House first read - 03/01/2017

House second read - 03/03/2017","This bill creates a digital learning tax credit available to taxpayers that make donations to eligible nonprofit organizations. Eligible nonprofit organizations shall make grants to county, municipal, or independent school districts to: purchase new technology, create digital content and interactive textbooks, train teachers in the use of technology and devices for learning initiatives, or improve instructional practices with such technology or devices.",Teasley,K-12,No,No,,,,
2018,Georgia ,Legislation,HB 524 (2017),,http://www.legis.ga.gov/Legislation/en-US/display/20172018/HB/524,"Introduced - 02/28/2017

House first read - 03/01/2017

House second read - 03/03/2017","This bill creates a digital learning tax credit available to taxpayers that make donations to eligible nonprofit organizations. Eligible nonprofit organizations shall make grants to county, municipal, or independent school districts to: purchase new technology, create digital content and interactive textbooks, train teachers in the use of technology and devices for learning initiatives, or improve instructional practices with such technology or devices.",Teasley,K-12,No,No,,,,
2019,Georgia ,Legislation,SR 87,,http://www.legis.ga.gov/Legislation/en-US/display/20192020/SR/87,"Senate Hopper - 02/05/2019

Senate Committee favorably reported - 03/25/2019

Senate read second time - 03/26/2019","This bill creates the Senate Study Committee on Digital Education and Screen Time in Georgia Public Schools - this bill requires the committee to undertake a study of the conditions, needs, and issues identified in this resolution, including the effect of ""digital education"" on academic effectiveness and its effect on student users. This stems from Georgia's current laws which ""strongly encourage"" local boards of education to purchase all instructional materials and content in digital or electronic format. ","Parent, Sims, Martin IV, Wilkinson, Ligon, Jr.",K-12,No,No,,,,
2016,Hawaii,Legislation,HB 2267,SB 2606,http://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HB&billnumber=2267&year=2016,Signed by Governor as Act 112 - 6/22/16,"Curricular Materials in Digital Format: A publisher or manufacturer that submits printed curricular materials to be used in public schools on or after July 1, 2016, shall ensure that such printed curricular materials are also available in an equivalent digital format - any money allocated for printed curricular materials may also be used to purchase digital formats of the curricular materials","Takashi Ohno, Tom Brower, Cindy Evans, Kaniela Ing, Ken Ito, Jo Jordan, Jarrett Keohokalole, Chris Lee, Sylvia Luke, John Mizuno, Dee Morikawa, Marcus Oshiro, Gregg Takayama, Roy Takumi, James Tokioka, Ryan Yamane",K-12,no,yes,,,,
2016,Hawaii,Legislation,SB 2606,HB 2267,http://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SB&billnumber=2606&year=2016,Amended and passed second reading in Senate - 2/8/16; Referred to WAM,"Curricular Materials in Digital Format: A publisher or manufacturer that submits printed curricular materials to be used in public schools on or after July 1, 2016, shall ensure that such printed curricular materials are also available in an equivalent digital format - any money allocated for printed curricular materials may also be used to purchase digital formats of the curricular materials","Mark Nakashima, Joseph Souki",K-12,no,no,,,,
2018,Hawaii,Legislation,SB 2328,,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SB&billnumber=2328&year=2018,"Passed Senate, as amended, transmitted to House - 03/06/2018

House received from Senate in amended form - 03/06/2018

Passed second reading as amended and referred to FIN committee - 03/23/2018","Establishes the University of Hawai‘i open educational resources task force to conduct a comprehensive analysis and evaluation on all general education courses and high attendance courses taught at the University of Hawai‘i system to identify open educational resources for those courses. Establishes and appropriates funds for an open educational resources pilot project grant program to incentivize faculty that adopt, develop, and implement open educational resources. Previously required courses at the University of Hawai'i system to exclusively use OER.","K. Kahele, S. Chang, Dela Cruz, Galuteria, Inouye, Kidani, Shimabukuro",Higher Ed,Yes,No,,,,
2018,Hawaii,Legislation,HCR 125,HR 112,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HCR&billnumber=125&year=2018,"Offered - 03/09/2018

Referred to HED, FIN - 03/13/2018

Report from HED adopted, referred to committee on FIN - 03/28/2018",This concurrent resolution encourages the faculty of the University of Hawaii system to make greater use of open education resources and other low-cost or free resources,"Mckelvey, Gates, Lowen, Mizuno, Ohno, Woodson, Evans, San Buenaventura",Higher Ed,Yes,,,,,
2018,Hawaii,Legislation,HCR 186,HR 158,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HCR&billnumber=186&year=2018,"Offered - 03/09/2018

Referred to EDN, FIN - 03/13/2018

Report from EDN adopted, referred to committee on FIN - 03/28/2018","This House concurrent resolution urges school administrators, teachers, and students to be educated about the potential health impacts of heavy backpacks adn to take proactive measures to avoid injury. Schools are urged to consider increased use of electronic textbooks as federal and state funding becomes available. ","Woodson, Aquino, Creagan, Har, Lopresti, Lowen, Yamashita, Onishi",K-12,No,,,,,
2018,Hawaii,Legislation,HR 112,HCR 125,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HR&billnumber=112&year=2018,"Offered - 03/09/2018

Referred to HED, FIN - 03/13/2018

Report from HED adopted, referred to committee on FIN - 03/28/2018",This House resolution encourages the faculty of the University of Hawaii system to make greater use of open education resources and other low-cost or free resources,"Mckelvey, Gates, Lowen, Mizuno, Ohno, Woodson, Evans, San Buenaventura",Higher Ed,Yes,,,,,
2018,Hawaii,Legislation,HR 158,HCR 186,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HR&billnumber=158&year=2018,"Offered - 03/09/2018

Referred to EDN/HHS, FIN - 03/13/2018

Re-referred to EDN, FIN - 03/16/2018

Report from EDN adopted, referred to committee on FIN - 03/28/2018","This House concurrent resolution urges school administrators, teachers, and students to be educated about the potential health impacts of heavy backpacks adn to take proactive measures to avoid injury. Schools are urged to consider increased use of electronic textbooks as federal and state funding becomes available. ","Woodson, Aquino, Creagan, Har, Lopresti, Lowen, Yamashita, Onishi",K-12,No,,,,,
2018,Hawaii,Legislation,SCR 69,HCR 186,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SCR&billnumber=69,"Passed Senate - 04/02/2018

Referred to House EDN, FIN - 04/04/2018

Reported from Education Commitee as amended, adopted and referred to Finance Committee as amended - 04/16/2018
","This Senate concurrent resolution urges school administrators, teachers, and students to be educated about the potential health impacts of heavy backpacks and to take proactive measures to avoid injury. Schools are urged to consider increased use of electronic textbooks as federal and state funding becomes available. ","Kidani, Baker, Inouye, K. Rhoads, S. Chang, Dela Cruz, Espero, Gabbard, Galuteria, K. Kahele, Keith-Agaran, Kim, Kouchi, Nishihara, Shimabukuro, Taniguchi, Wakai",K-12,No,,,,,
2018,Hawaii,Legislation,SR 38,HR 158,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SR&billnumber=38,"Offered - 03/08/2018

Referred to EDU/CPH - 03/14/2018

Reported from EDU/CPH with recommendation of adoption - 03/29/2018

Report and Resolution Adopted - 04/02/2018","This Senate resolution urges school administrators, teachers, and students to be educated about the potential health impacts of heavy backpacks adn to take proactive measures to avoid injury. Schools are urged to consider increased use of electronic textbooks as federal and state funding becomes available. ","Kidani, Baker, Inouye, K. Rhoads, S. Chang, Dela Cruz, Gabbard, Galuteria, K. Kahele, Keith-Agaran, Kim, Kouchi, Nishihara, Shimabukuro, Taniguchi, Wakai",K-12,No,Yes,,,,
2019,Hawaii,Legislation,HB 915,,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HB&billnumber=915&year=2019,"Introduced, passed first reading - 01/24/2019

Referred to LHE, FIN - 01/28/2019","This bill requires the University of Hawaii to study the feasibility of adopting an open educational resources initiative. This initiative shall include the adoption of a strategic plan, including a strategy to increase the use of open educational resources. This initiative must also include: (1) Open educational resources training, including training for faculty, and (2) Individual grants for faculty to incentivize the use of open educational resources in their courses.","Eli, Johanson, Kitagawa, D. Kobayashi, Perruso, Wildberger",Higher Ed,Yes,No,,,,
2019,Hawaii,Legislation,HB 1385,,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HB&billnumber=1385&year=2019,"Introduced, passed first reading - 01/24/2019

Referred to LHE, FIN - 01/28/2019","This bill relates to the Hawaii Scientist-to-Teacher Pathway Pilot Program. In order to receive grant funding under this program, grant applicants must demonstrate the ability to recruit qualified science, technology, engineering, and mathematics professionals by developing open education resources that can be used for statewide outreach, to attract qualified science, technology, engineering, and mathematics professionals into a career teaching children in K-12.","Okimoto, Decoite, Hasimoto, Kitagawa, Ohno, Quinlan, Say, Tarnas, Tokioka, Wildberger, D. Kobayashi",K-12,Yes,No,,,,
2019,Hawaii,Legislation,HR 72,,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HR&billnumber=72&year=2019,"Offered - 03/08/2019

Referred to LHE, FIN - 03/14/2019","This House Resolution requests the University of Hawaii study the feasibility of adopting an open educational resources initiative. The study is requested to include: a strategic plan to increase the use of open educational resources, the recommended parameters of an open educational resources initiative at the University of Hawaii, the estimated cost to implement, and the projected savings to students as a result of the initiative, if any.","Eli, Gates, Kitagawa, D. Kobayashi, Matayoshi, Tarnas",Higher Ed,Yes,No,,,,
2019,Hawaii,Legislation,SB 932,,https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SB&billnumber=932&year=2019,"Introduced - 01/18/2019

Passed first reading - 01/22/2019

Referred to HRE, WAM - 01/24/2019","This bill establishes the University of Hawaii open educational resources task force to conduct a comprehensive analysis and evaluation of all general education courses and high attendance courses taught at the University of Hawaii system to identify open educational resources for those courses. This further establishes and appropriates funds for an open educational resources pilot project grant program to incentivize faculty to adopt, develop, and implement open educational resources.","K. Kahele, S. Chang, Kanuha, J. Keohokalole, Ruderman, Shimabukuro",Higher Ed,Yes,No,,,,
2016,Idaho,Legislation,HB 526,,https://www.legislature.idaho.gov/legislation/2016/H0526.htm,"Signed by Governor - 3/23/16 - Effective 7/1/16
Earlier version introduced as HB 450",Literacy Intervention: This requires each school district and public charter school to establish a literacy intervention program for students who have low scores on reading assessments in K-3rd grade. The program may include online or digital instructional materials or programs or library resources ,Education Committee,K-12,no,yes,,,,
2016,Illinois,Legislation,HB 3190,,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=3190&GAID=13&DocTypeID=HB&LegID=89338&SessionID=88&GA=99&SpecSess=0,"Re-referred to Rules Committee - 6/30/16
Earlier version introduced as HB 6019","This provides funding for school safety, textbooks and software, electronic textbooks and the technological equipment necessary to gain access to and use electronic textbooks ","William Davis, Camille Y. Lilly, Kimberly A. Lightford, Iris Martinez, William Delgado",K-12,no,no,,,,
2016,Illinois,Legislation,SB 0001,,http://www.ilga.gov/legislation/billstatus.asp?DocNum=0001&GAID=13&GA=99&DocTypeID=SB&LegID=83715&SessionID=88,Senate Amended & referred to Assignments 10/10/15; Co-sponsor added 1/27/16,"School Safety and Educational Improvement Block Grant Program:  This program provides funding for school safety, textbooks and software, electronic textbooks and the technological equipment necessary to gain access to and use electronic textbooks ",Andy Manar,K-12,no,no,,,,
2016,Illinois,Legislation,SB 231 (S Amendment 1),,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=231&GAID=13&DocTypeID=SB&LegID=84192&SessionID=88&GA=99&SpecSess=0,Re-referred to Rules Committee - 6/30/16,"School Safety and Educational Improvement Block Grant Program:  This program provides funding for school safety, textbooks and software, electronic textbooks and the technological equipment necessary to gain access to and use electronic textbooks ","Andy Manar, Michael Noland, Jacqueline Collins, Heather Steans, Martin Sandoval",K-12,no,no,,,,
2017,Illinois,Indefinite recess,HB 2807,,http://ilga.gov/legislation/BillStatus.asp?DocNum=2807&GAID=14&DocTypeID=HB&LegID=104196&SessionID=91&GA=100&SpecSess=0,"Introduced and referred to Rules Committee - 02/09/2017

Assigned to Executive Committee - 02/22/2017

Re-referred to Rules Committee - 03/31/2017","Textbooks Provided and Loaned to Pupils: The governing body of every school district that agrees to furnish free textbooks or electronic textbooks to students, shall provide (at the expense of the district) textbooks or electronic textbooks for use in the public schools and loan them free to students. These textbooks shall remain the property of the school district.",Davis,K-12,No,No,,,,
2017,Illinois,Indefinite recess,HB 2808,,http://ilga.gov/legislation/BillStatus.asp?DocNum=2808&GAID=14&DocTypeID=HB&LegID=104197&SessionID=91&GA=100&SpecSess=0,"Introduced and referred to Rules Committee - 02/09/2017

Passed Appropriations - Elementary and Secondary Education Committee - 03/30/2017

House Floor Amendment filed and referred to Appropriations - Elementary and Secondary Education Committee - 05/16/2017

Re-referred to Rules Committee - 07/06/2017","School Safety and Educational Improvement Block Grant Program: this program provides funding for school safety, textbooks and software, electronic textbooks, and the technological equipment necessary to gain access to and use electronic textbooks.",,K-12,No,,,,,
2017,Illinois,Indefinite recess,HB 3898,,http://ilga.gov/legislation/BillStatus.asp?DocNum=3898&GAID=14&DocTypeID=HB&LegID=105884&SessionID=91&GA=100&SpecSess=0,"Introduced and referred to Rules Committee - 02/10/2017

Assigned to Executive Committee - 03/01/2017

Re-referred to Rules Committee - 03/31/2017","Textbooks Provided and Loaned to Pupils: The governing body of every school district that agrees to furnish free textbooks or electronic textbooks to students, shall provide (at the expense of the district) textbooks or electronic textbooks for use in the public schools and loan them free to students. These textbooks shall remain the property of the school district.",Arroyo,K-12,No,No,,,,
2017,Illinois,Indefinite recess,SB 1838,,https://trackbill.com/bill/il-sb1838-higher-ed-digital-discount/1386731/,"Placed on Calendar Order of 3rd Reading - 04/06/2017

Referred to Assignments - 08/04/2017",Amends various Acts relating to the governance of public universities and community college districts in Illinois. Allows universities and community colleges to establish a digital discount program that complies with federal regulations. Effective immediately.,Andy Manar,Higher Ed,No,No,Nicole: another digital discount program bill,,,
2018,Illinois,Legislation,HB 2807 (2017),,http://ilga.gov/legislation/BillStatus.asp?DocNum=2807&GAID=14&DocTypeID=HB&LegID=104196&SessionID=91&GA=100&SpecSess=0,"Introduced and referred to Rules Committee - 02/09/2017

Assigned to Executive Committee - 02/22/2017

Re-referred to Rules Committee - 03/31/2017","Textbooks Provided and Loaned to Pupils: The governing body of every school district that agrees to furnish free textbooks or electronic textbooks to students, shall provide (at the expense of the district) textbooks or electronic textbooks for use in the public schools and loan them free to students. These textbooks shall remain the property of the school district.",Davis,K-12,No,No,,,,
2018,Illinois,Legislation,HB 2808 (2017),,http://ilga.gov/legislation/BillStatus.asp?DocNum=2808&GAID=14&DocTypeID=HB&LegID=104197&SessionID=91&GA=100&SpecSess=0,"Introduced and referred to Rules Committee - 02/09/2017

Passed Appropriations - Elementary and Secondary Education Committee - 03/30/2017

House Floor Amendment filed and referred to Appropriations - Elementary and Secondary Education Committee - 05/16/2017

Re-referred to Rules Committee - 07/06/2017","School Safety and Educational Improvement Block Grant Program: this program provides funding for school safety, textbooks and software, electronic textbooks, and the technological equipment necessary to gain access to and use electronic textbooks.","Davis, Pritchard, LaVia, Riley, Welch, Scherer, Lilly, Guzzardi",K-12,No,No,,,,
2018,Illinois,Legislation,HB 3898 (2017),,http://ilga.gov/legislation/BillStatus.asp?DocNum=3898&GAID=14&DocTypeID=HB&LegID=105884&SessionID=91&GA=100&SpecSess=0,"Introduced and referred to Rules Committee - 02/10/2017

Assigned to Executive Committee - 03/01/2017

Re-referred to Rules Committee - 03/31/2017","Textbooks Provided and Loaned to Pupils: The governing body of every school district that agrees to furnish free textbooks or electronic textbooks to students, shall provide (at the expense of the district) textbooks or electronic textbooks for use in the public schools and loan them free to students. These textbooks shall remain the property of the school district.",Arroyo,K-12,No,No,,,,
2018,Illinois,Legislation,SB 1838 (2017),,https://trackbill.com/bill/il-sb1838-higher-ed-digital-discount/1386731/,"Placed on Calendar Order of 3rd Reading - 04/06/2017

Referred to Assignments - 08/04/2017",Amends various Acts relating to the governance of public universities and community college districts in Illinois. Allows universities and community colleges to establish a digital discount program that complies with federal regulations. Effective immediately.,Andy Manar,Higher Ed,No,No,,,,
2019,Illinois,Legislation,HB 2509,,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=2509&GAID=15&DocTypeID=HB&LegID=118588&SessionID=108&GA=101&SpecSess=0,"House amendment filed - 03/27/2019

Re-referred to Rules Committee - 03/29/2019",This bill would create the Fundamental Issues and Texts of Western Civilization Degree pilot program - one of the goals of this program must be to use open education resources.,Mazzochi,Higher Ed,Yes,No,,,,
2019,Illinois,Legislation,SB 2096,,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=2096&GAID=15&DocTypeID=SB&LegID=120180&SessionID=108&GA=101&SpecSess=0,Signed by Governor - 06/14/2019,"This bill would amend existing law - the proposed bill would make amendments to existing law relating to prohibiting publishers or retail dealers from offering any school instructional materials for adoption, sale, or exchange in the state until certain requirements are met. ",Andy Manar,K-12,No,Yes,,,,
2017,Indiana ,Adjourned,HB 1568,,https://iga.in.gov/legislative/2017/bills/house/1568,Introduced and referred to Education Committee - 01/23/2017,Elimination of Textbook Fees: This bill requires public schools to provide curricular materials to students at no cost to a student. ,Hatfield,K-12,No,No,,,,
2018,Indiana ,Legislation,HB 1169,,https://iga.in.gov/legislative/2018/bills/house/1169#document-a33381b6,"Introduced, first reading, referred to Committee on Ways and Means - 01/08/2018",Requires public schools to provide curricular materials to students at no cost to a student. The bill establishes the curricular materials fund to provide state reimbursements for costs incurred by public schools to provide curricular materials to students at no costs. This bill also provides that the department of education shall administer the fund.,Scott Pelath,K-12,No,No,,,,
2019,Indiana ,Legislation,HB 1586,,http://iga.in.gov/legislative/2019/bills/house/1586,"First reading, referred to Committee on Education - 1/22/2019",This bill requires public schools to provide curricular materials to students at no cost. This establishes the curricular materials fund to provide state reimbursements for costs incurred by public schools to provide curricular materials to students at no cost.,Lisa Beck,K-12,No,No,,,,
2019,Indiana ,Legislation,HB 1610,,http://iga.in.gov/legislative/2019/bills/house/1610,"First reading, referred to Committee on Education - 01/22/2019",This bill would eliminate textbook fees and require public schools to provide curricular materials to students at no cost to a student. This would further establish the curricular materials fund to provide state reimbursements for costs incurred by public schools to provide curricular materials to students at no cost.,"Ryan Hatfield, Carey Hamilton, Chris Campbell, Tonya Pfaff",K-12,No,No,,,,
2016,Iowa,Legislation,HF 2312,,https://www.legis.iowa.gov/legislation/BillBook?ga=86&ba=HF2312,"Introduced, read first time and referred to education - 2/23/16 (Successor to HF2034)","An act relating to permissible uses of supplemental aid for professional development paid to school districts and area education agencies under the state school foundation program: Schools receive funds for professional development, with which school districts must create quality professional development opportunities. The funds available may then be used for professional development to teachers, additional salaries, substitute teachers, and textbooks and curriculum materials for classroom purposes, if purchase of such textbooks and curriculum materials includes professional development. This bill expands the use of funds that schools receive as supplemental aid for professional development.",Committee on Education - Successor to HF2034,K-12,no,no,,,,
2018,Iowa,Legislation,SF 2362,,https://www.legis.iowa.gov/legislation/BillBook?ga=87&ba=SF2362,"Amended and passed by Senate - 03/07/2018

Read first time in House, referred to Education - 03/08/2018

Subcommittee recommends passage - 03/13/2018","An Act establishing requirements relating to the use and identification of open educational resources by postsecondary educational institutions. This bill would require any postsecondary institution whose students are eligible for or who receive financial assistance to identify in each course catalog published by the institution the courses that will utilize open educational resources. This also requires regents universities to develop and implement, upon receiving state board of regents approval, a five-year plan to increase the number of courses utilizing open educational materials.
Note: Successor to SSB3179",Committee on Education,Higher Ed,Yes,No,,,,
2018,Iowa,Legislation,SSB 3179,,https://www.legis.iowa.gov/legislation/BillBook?ga=87&ba=SSB3179,"Introduced, referred to Subcommittee - 02/13/2018

Subcommittee recommends amendment and passage - 02/14/2018","An Act establishing requirements relating to the use and identification of open educational resources by postsecondary educational institutions - this bill would require any postsecondary institution whose students are eligible for or who receive financial assistance to identify in each course catalog published by the institution the courses that will utilize open educational resources. This also requires regents universities to develop and implement, upon receiving state board of regents approval, a five-year plan to increase the number of courses utilizing open educational materials.",Sinclair,Higher Ed,Yes,No,,,,
2019,Iowa,Legislation,HF 428,,https://www.legis.iowa.gov/legislation/BillBook?ga=88&ba=HF428,"Introduced, referred to Education - 02/19/2019

Subcommittee: Moore, T., Dolecheck and Winckler - 02/21/2019

Fiscal note - 03/26/2019","This bill amends existing law and would prohibit the state board and department from requiring school districts or accredited nonpublic schools to adopt the core curriculum, or require a specific textbook, textbook series, or specific instructional methodology, or acquire specific textbooks, curriculum materials, or educational products from a specific vendor.","Salmon, Gassman, Shipley, Wheeler, Gustafson, Osmundson, Fisher, Holt",K-12,No,No,,,,
2019,Iowa,Legislation,SF 433,,https://www.legis.iowa.gov/legislation/BillBook?ga=88&ba=SF433,"Introduced, referred to Education - 02/28/2019

Subcommittee: Sinclair, Quirmbach, and Zaun - 03/06/2019",This bill establishes requirements relating to the use and identification of open educational resources by postsecondary educational institutions and requires exploration and action on opportunities to reduce education resources costs.,"Quirmbach, T. Taylor, Lykam, Wahls, Dotzler, Kinney, Celsi, J. Smith, Jochum, Petersen, Bolkcom",Higher Ed,Yes,No,,,,
2016,Louisiana,Legislation,HCR 80,,http://www.legis.la.gov/legis/BillInfo.aspx?i=230583&sbi=y,Signed by Speaker of House - 5/18/16; Signed by President of Senate - 5/19/16; Presented to Secretary of State - 5/20/16,"This resolution establishes the Virtual Library Study Commission to conduct a study and make recommendations regarding the development of a statewide virtual library - OERs representing the development of shared online accessible textbook collections, can bring educational costs down considerably while making efficient use of tax dollars",Steve Carter,Higher Ed,yes,yes,,,,
2018,Louisiana,Legislation,HCR 79,,http://www.legis.la.gov/legis/BillInfo.aspx?i=235086,"Signed by Speaker of House - 05/15/2018

Signed by President of Senate - 05/16/2018

Presented to Secretary of State in accordance with the Rules of the House - 05/17/2018",This bill requests that public school governing authorities take certain actions relative to helping students avoid injury due to the use of heavy backpacks. This bill encourages schools to make electronic versions of textbooks available as federal and state funding for that purpose become available.,Amedee,K-12,No,,,,,
2018,Louisiana,Legislation,HB 737,,http://www.legis.la.gov/legis/BillInfo.aspx?i=234516,"Introduced, referred to Education Committee - 03/27/2018","This bill increases the time period that publishers have to respond to textbook reviews to 30 days (existing law allows 10 days). Further, this bill would provide that the department shall not prohibit a school or governing authority from acquiring books that are not on the department's list; however, such books shall be acquired and used in accordance with present law and with local policy.  ",Reynolds,K-12,No,No,,,,
2019,Louisiana,Legislation,HB 253,,http://legis.la.gov/legis/BillInfo.aspx?i=236007,"Prefiled, ready by title and referred to Education Committee - 04/08/2019","This bill requires at a meeting of a public school governing authority held no more than 60 days prior to any action by the school system to adopt, select, or purchase any textbook or instructional material, the vendor of the textbook or material shall publicly report on any thing of economic value that it has given to any member of the school governing authority, to the school system, to a school governed by the governing authority, or to an organization whose members are primarily Louisiana public schools or Louisiana public school personnel. All reports and records shall be posted on the governing authority's website.",Landry,K-12,No,No,,,,
2019,Louisiana,Legislation,SB 117,,http://legis.la.gov/legis/BillInfo.aspx?i=236063&sbi=y,Signed by Governor - 06/06/2019,"This bill would require each public postsecondary education institution, beginning in Fall of 2020, to use a conspicuous symbol, logo, or other distinguishing feature to highlight each course included in its course schedule that exclusively utilizes AER or OER course materials. These institutions shall also clearly communicate to students how to access AER and OER course materials and provide summary data as requested by the Board of Regents regarding courses that exclusively utilize AER and OER course materials. Finally, this bill would require the institutions to publish the course schedule and any required textbooks prior to opening course registration, but no later than 30 days prior to the beginning of the term and provide the information to the Louisiana Library Network, individual campus libraries, and other entities or programs that might be specified by the Board of Regents. ",Walsworth,Higher Ed,Yes,Yes,,,,
