Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted
2016,Tennessee,Legislation,SB 61,,http://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=SB0061,Assigned to General Subcommittee of Senate Education Committee - 4/1/15,"Textbooks: This bill creates a study committee to make recommendations on the transition from traditional textbooks to free, online textbooks and course materials by the public higher education institutions. This committee will review the impact of open textbooks and course materials on the cost of traditional textbooks, the extent to which open textbooks and course materials can be used at institutions of higher education, and the possible savings generated for students and the state through the use of open textbooks and course materials","Mike Sparks (HB60), Mark Green (SB61)",Higher Ed,yes,no
2016,Tennessee,Legislation,SB 614,HB 1058,http://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=SB0614,Passed on Second Consideration - referred to Senate Education Committee - 2/12/15,This bill requires a local board that chooses to furnish electronic textbooks and instructional materials to pupils attending school to also provide the public with reasonable access to view the electronic textbooks and instructional materials. ,Joey Hensley,K-12,no,no
2016,Virginia,Legislation,HB 662,,http://lis.virginia.gov/cgi-bin/legp604.exe?161+sum+HB662,Left in House Education Committee - 2/16/16,State Council of Higher Education for Virginia: Open Educational Resources. Requires the State Council of Higher Education to administer an Open Educational Resources Fund and Program to provide grants on a competitive basis to public institutions of higher education to encourage such institutions to use low-cost or no-cost open educational resources that are openly licensed and shared with the public through an existing or new open educational resources repository.,Eileen Filler-Corn,Higher Ed,yes,no
2016,Virginia,Legislation,SB 740,,http://lis.virginia.gov/cgi-bin/legp604.exe?161+sum+SB740,Passed by indefinitely in Education by voice vote - 3/2/16,"Access to Electronic Textbooks: prohibits school boards requiring the use of any electronic textbook in any course in grades 6-12, unless the school board adopts a plan that each student in the course will have access to a personal computing device. The local school board may also establish a pilot program for the use of electronic textbooks at any secondaary school provided that each student within that school has access to a personal computing device capable of supporting such textbooks",Scott Surovell,K-12,no,no
2016,Washington,Legislation,HB 1958,,http://app.leg.wa.gov/billinfo/summary.aspx?bill=1958&year=2015,"By resolution, reintroduced and retained in present status - 3/10/16 (Higher Education committee - 2/4/15)",This Act would prohibit institutions of higher education from assigning a student to purchase a textbook that costs more than $100 unless there is no available and comparable alternative that costs less and there is no available substitute through open course materials,"Hans Zeiger, Gerry Pollet, Larry Haler, Melanie Stambaugh, Mark Hargrove, Chad Magendanz, Vincent Buys, Steve Bergquist",Higher Ed,yes,no
2016,Washington,Legislation,HB 1973,,http://app.leg.wa.gov/billinfo/summary.aspx?bill=1973&year=2015,"By resolution, reintroduced and retained in present status - 3/10/16 (referred to Appropriations - 2/2/15)","An Act Relating to the Washington Open Education Pilot Program at Eastern Washington University. This bill establishes the Eastern Washington University open education pilot program, created to reduce student’s cost of attendance by creating an open educational resources program","Melanie Stambaugh, Steve Bergquist, Mark Hargrove, Larry Haler, Hans Zeiger, Luanne Van Werven, Chad Magendanz, Linda Kochmar, Dick Muri, Mia Gergerson, Kevin Parker, Marcua Riccelli ",Higher Ed,yes,no
2016,Washington,Legislation,HB 2165,,http://app.leg.wa.gov/billinfo/summary.aspx?bill=2165&year=2016,"By resolution, reintroduced and retained in present status - 3/10/16 (referred to Education - 2/2/15)","An Act Eliminating the use of Common Core State Standards and Assessments. This bill requires the superintendent of public instruction to identify and develop a library of openly licensed courseware aligned with the state standards - this would allow others to use, distribute, and create derivative works based upon the digital material, while still allowing the authors or creators to retain the copyright and to receive credit for their efforts. The open educational resources account will be created in the custody of the state treasurer.","Elizabeth Scott, Larry Haler, Matt Shea, Brandon Vick, Shelly Short, Luanne Van Werven, Cary Condotta, Lynda Wilson, Jesse Young, Ed Orcutt, Linda Kochmar, Joe Schmick, David Taylor, Mark Harmsworth, G. Hunt, Dan Griffey, Brad Klippert, Vincent Buys, Kevin Parker, Jeff Holy, Liz Pike, Drew MacEwen",K-12,yes,no
2016,Washington,Legislation,HB 2680,,http://app.leg.wa.gov/billsummary?BillNumber=2680&Year=2015,"By resolution, reintroduced and retained in present status - 3/10/16 (Referred to appropriations - 2/5/16)","Creates the Washington open education pilot grant program within the student achievement council to create a competitive grant program to provide an incentive for faculty to adopt open educational resources and reduce students' costs of attendance.
Requires the student achievement council to award up to one hundred grants per year to faculty members to develop or obtain open educational materials and resources. Expires June 30, 2019.","Melanie Stambaugh, Noel Frame, Hans Zeiger, Marcus Riccelli, Luanne Van Werven, Chad Magendanz, Linda Kochmar, Christine Kilduff, Mark Hargrove, Derek Stanford, Norm Johnson, Teri Hickel",Higher Ed,yes,no
2016,Washington,Legislation,HB 2686,,http://app.leg.wa.gov/billinfo/summary.aspx?bill=2686&year=2016,"By resolution, reintroduced and retained in present status - 3/10/16 (referred to Appropriations - 2/5/16)","An Act Relating to making the Cost of Textbooks and Other College Course Materials More Affordable. By fall 2016, community and technical colleges are required to revise their college catalogs to identify which courses qualify as having open educational resources. Further, the college board must administer a grant program to promote expansion of the open course library. Finally, the college board shall administer a grant program to support colleges that develop a degree or certificate program composed of courses that have open educational resources.","Pat Sullivan, Brady Walkinshaw, Steve Bergquist, Christine Kilduff, JD Rossetti, Liz Pike, Hans Zeiger, Derek Stanford, Chad Magendanz, Jessyn Farrell, Sharon Santos, Timm Ormsby, Gerry Pollet",Higher Ed,yes,no
2016,Washington,Legislation,HB 2780,,http://app.leg.wa.gov/billinfo/summary.aspx?bill=2780&year=2015,"By resolution, reintroduced and retained in present status - 3/10/16 (referred to Finance - 2/1/16)","Establishes the textbook affordability via open sourcing act. Provides a business and occupation tax credit and a public utility tax credit for a person that provides open source instructional material, at no cost, to a private or public institution of higher education that is used in lieu of other instructional materials for any course of study offered at the institution.","Jesse Young, Steve Bergquist, Melanie Stambaugh, Christine Kilduff, Mark Hargrove, Hans Zeiger, Teri Hickel ",Higher Ed,yes,no
2016,West Virginia,Legislation,HB 4445,,http://www.wvlegislature.gov/Bill_Text_HTML/2016_SESSIONS/RS/Bills/hb4445%20intr.htm,Passed House - 2/22/16; Introduced in Senate and sent to Education Committee - 2/23/16,"Each county board is required to furnish, free of charge, the necessary instructional resources for students in public schools. If a county board chooses to furnish electronic instructional resources to students, then the board is required to provide reasonable access to the electronic resources and necessary computer equipment required to complete the homework assignments. ",Roger Hanshaw ,K-12,no,no
2016,West Virginia,Legislation,HB 4627,,http://www.wvlegislature.gov/Bill_Text_HTML/2016_SESSIONS/RS/Bills/hb4627%20intr.htm,Introduced and referred to Education Committee - 2/20/16,"Creating a Digital Learning Pilot Project: the goal of this program is to provide equality and access to high quality digital learning solutions for all educational stakeholders. This program will provide educators with access to high quality digital learning content and curriculum development tools - particularly using free OER, they can supplement and overcome their reliance on costly and outdated text books.",Kessinger,K-12,yes,no
2016,West Virginia,Legislation,SB 671,,http://www.wvlegislature.gov/Bill_Text_HTML/2016_SESSIONS/RS/Bills/SB671%20intr.htm,Introduced and referred to Education Committee - 2/22/16,"Creating a Digital Learning Pilot Project: the goal of this program is to provide equality and access to high quality digital learning solutions for all educational stakeholders. This program will provide educators with access to high quality digital learning content and curriculum development tools - particularly using free OER, they can supplement and overcome their reliance on costly and outdated text books.",Carmichael,K-12,yes,no
2015,Arkansas,Legislation,SB 265,,http://www.arkleg.state.ar.us/assembly/2015/2015R/Pages/BillInformation.aspx?measureno=sb265,Signed and Enacted (Act 306),Act 306: This bill creates the University of Arkansas eVersity (an entirely online institution of higher education). This bill requires that open educational resources be utilized to support course delivery to students,Eddie Cheatham,Higher Ed,yes,yes
2015,California,Legislation,AB 798,,http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=ab_798&sess=CUR&house=B&author=bonilla_%3Cbonilla%3E,Signed by the Governor and Enacted,"College Textbook Affordability Act of 2015: The purpose of this bill is to reduce textbook costs for college students and encourage faculty to accelerate the adoption of lower cost, high-quality open educational resources. This bill creates the Open Educational Resources Adoption Incentive Fund to provide incentives and reward campus, staff, and faculty efforts to accelerate the adoption of open educational resources",Susan Bonilla,Higher Ed,yes,yes
2015,Connecticut,Legislation,HB 6117,,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&which_year=2015&bill_num=6117,Signed and Enacted (Special Act 15-18),"Special Act 15-18 An Act Concerning the Use of Digital Open-Source Textbooks in Higher Education: This bill establishes an open-source textbook pilot program to assess the use of high-quality digital open-source textbooks and to promote the use of those textbooks. The report shall include an analysis of the cost savings to students for 		courses using an open-source textbook instead of a  traditional college-level textbook and any potential barriers to the effective use of open-source textbooks by students and faculty. This establishes a task force to study best practices re: open educational resources
","Gregg Haddad, Mae Flexer ",Higher Ed,yes,yes
2015,Florida,Legislation,SB 938,,http://www.flsenate.gov/Session/Bill/2015/0938/BillText/__/PDF,Died on 5/1/15 in Appropriations Subcommittee on Education,"An Act Relating to Postsecondary Education Affordability: This bill requires the Board of Governors and State Board of Education to continue to ensure college affordability, which includes strategies and initiatives to reduce the cost of higher education - these strategies must include consideration of the cost of textbooks and instructional materials - this includes expanding the use of open-access textbooks and instructional materials",Anitere Flores,Higher Ed,yes,no
2015,Florida,Legislation,SB 948,,http://www.flsenate.gov/Session/Bill/2015/0948/BillText/c2/PDF,Died on Calendar 5/1/15,"An Act Relating to Education: This bill requires the Board of Governors and State Board of Education to continue to ensure college affordability, which includes strategies and initiatives to reduce the cost of higher education - these strategies must include consideration of the cost of textbooks and instructional materials - this includes expanding the use of open-access textbooks and instructional materials",Don Gaetz,Higher Ed,yes,no
2015,Maine,Legislation,LD 1207,,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280055974,Dead,"Resolve to Implement an Online Professional Development Platform for Teachers and Educators: This bill requires the Dept of Education to develop a plan to implement an online professional development platform for teachers and educators. The research and analysis conducted by the department before implementing this platform, require the department to examine online professional development platforms for teachers that include links to open-source educational resources ",Brian Hubbell,K-12,yes,no
2015,Maine,Legislation,LD 391,,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280054712,Dead,"Resolve to Create a State Run Virtual Academy Providing Maine Students with Access to Online Learning through their  Existing School Districts: This bill creates a group that is required to develop plans to establish online and digital learning opportunities, which may include a state-administered virtual academy and a state-administered digital learning exchange, that provide all public schools in the State access to online instruction, online courses, and digital learning resources for their students. The group must ensure that any digital learning exchange provides expanded digital learning opportunities to all Maine students and establishes a clearinghouse of open educational resources available to all educators, parents, and students
",Brian Hubbell,K-12,yes,no
2015,Massachusetts,Legislation,H 1076,,https://malegislature.gov/Bills/189/House/H1076,Referred to Committee on Education (H); Senate Concurred; Hearing scheduled for 6/3; Continued to 2016; Died,"A Resolve Establishing a Special Commission Relative to Reducing the Costs Associated with the Purchase of College Textbooks: This bill establishes a special commission established to study the college textbook industry. The information this commission shall review includes offering a choice of digital texts, and exploring the effective use of E-textbooks, amonst others. ** PLEASE NOTE: This bill does not specifically mention open educational resources",Walter Timilty,Higher Ed,no,no
2015,Massachusetts,Legislation,S 325,,https://malegislature.gov/Bills/189/Senate/S325,Referred to Committee on Education (S); Hearing scheduled for 6/11; Continued to 2016; Died,"An Act Establishing a Special Commission relative to Digital Textbooks: This bill creates a commission to study and report on how to maximize the use of digital and open textbooks for grades K-12 and public colleges and universities. The commission must prepare a report to be submitted to the General Court by January 31, 2016",Mark Pacheco,Both,yes,no
2015,Massachusetts,Legislation,S 675,,https://malegislature.gov/Bills/189/Senate/S675,In Higher Education Committee (S); Hearing scheduled for 6/3; Continued to 2016; Died,"An Act Relative to Open Textbooks: This bill creates the Massachusetts Open Source Digital Library, the purpose of which is to house open source materials and provide internet based ways for students, faculty, and staff to easily find, adopt, utilize or modify course materials at little or no cost",Michael Moore,Higher Ed,yes,no
2015,New Jersey,Legislation,A 2809,S 2348,https://legiscan.com/NJ/bill/A2809/2014,Introduced and referred to Assembly Higher Education Committee 3/24/14,"Affordable College Textbook Act: This bill requires that within 180 days of the Act becoming effective, 4 year public or indendpent institutions of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled. This bill recognizes that open educational resources are important because they can be used freely by students, faculty, and the general public and can be used in place of traditional textbook materials, which can reduce textbook costs by 80-100%
","Joseph Cryan, Celeste Riley, Annette Quijano, Nancy Pinkin, Paul Moriarty, Jamel Holley, Angel Fuentes, Carmelo Garcia",Higher Ed,yes,no
2015,New Jersey,Legislation,S 2348,A 2809,https://legiscan.com/NJ/bill/S2348/2014,Introduced and referred to Senate Higher Education Committee 8/18/2014,"Affordable College Textbook Act: This bill requires that within 180 days of the Act becoming effective, 4 year public or indendpent institutions of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled. This bill recognizes that open educational resources are important because they can be used freely by students, faculty, and the general public and can be used in place of traditional textbook materials, which can reduce textbook costs by 80-100%",Shirley Turner,Higher Ed,yes,no
2015,New York,Legislation,A 6377,,http://assembly.state.ny.us/leg/?bn=A06377&term=2015,Referred to Higher Education Committee 3/20,"This bill creates a task force to review the cost of textbooks, with a goal of finding ways to make materials more affordable through ways such as: open access textbooks and digital textbooks. The task force's report must be submitted by January 1, 2016 and it must include ways to promote the greater development, adoption, deployment, and use of open access textbooks in both digital and print formats for students and faculty in fiscally sustainable ways.",Chad Lupinacci,Higher Ed,yes,no
2015,North Carolina,Legislation,HB 660,,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2015&BillID=h660,Passed third reading in House 4/29; Passed first reading in Senate 4/30; Referred to Committee on Rules and Operations of the Senate; Died,Transition to Personalized Digital Learning: This bill requires the State Board to provide access to digital learning resources for all K-12 public schools. This access must include access to open educational resources that are developed in North Carolina and elsewhere,"Craig Horn, Jason Saine, Charles Jeter, John Fraley",K-12,yes,no
2015,North Dakota,Legislation,HB 1261,,http://www.legis.nd.gov/assembly/64-2015/bill-index/bi1261.html,Dead - failed to pass second reading in House,"A Bill for an Act to Create a Higher Education Open Educational Resources Incentive Grant Program: This bill creates a higher education open educational resources incentive grant program. The grants may be awarded to academic faculty and instructional staff at institutions for salary performance bonuses or equipment and resources for the development and implementation of open educational resources
","Thomas Beadle, Kathy Hawken, Tom Kading, Gary Nelson, Kylie Oversen, Mark Sanford",Higher Ed,yes,no
2015,Oregon,Legislation,HB 2871,,https://olis.leg.state.or.us/liz/2015R1/Measures/Overview/HB2871,Signed and Enacted (Chapter 727),"Establishes Open Educational Resources Grant Program within Higher Education Coordinating Commission: This Act was created to encourage the use of low or no-cost open educational resources in post-secondary institutions of education. This act allows the commission to award grants to applicants who adapt or make use of existing open educational resources and utilizes students in the design or production of open educational resource materials. Finally, this Act also employs an open educational resource specialist who fosters the use of open                 educational resources in colleges and universities","Higher Education, Innovation, and Workforce Development ",Higher Ed,yes,yes
2015,Tennessee,Legislation,HB 60,SB 61,http://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=HB0060&ga=109,Dead,"Textbooks: This bill creates a study committee to make recommendations on the transition from traditional textbooks to free, online textbooks and course materials by the public higher education institutions. This committee will review the impact of open textbooks and course materials on the cost of traditional textbooks, the extent to which open textbooks and course materials can be used at institutions of higher education, and the possible savings generated for students and the state through the use of open textbooks and course materials
","Mark Green, Mike Sparks",Higher Ed,yes,no
2015,Tennessee,Legislation,SB 61,HB 60,http://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=SB0061&ga=109,Dead,"Textbooks: This bill creates a study committee to make recommendations on the transition from traditional textbooks to free, online textbooks and course materials by the public higher education institutions. This committee will review the impact of open textbooks and course materials on the cost of traditional textbooks, the extent to which open textbooks and course materials can be used at institutions of higher education, and the possible savings generated for students and the state through the use of open textbooks and course materials
","Mark Green, Mike Sparks",Higher Ed,yes,no
2015,Texas,Legislation,SB 915,,http://www.capitol.state.tx.us/BillLookup/History.aspx?LegSess=84R&Bill=SB915,House Committee Report Sent to Calendars 5/18 - Dead,"An Act relating to the Establishment and Administration by the Texas Higher Education Coordinating Board of a Textbook Affordability Pilot Program at a Public Institution of Higher Education: This bill requires the board to establish and administer a pilot program to encourage the use of affordable textbooks at institutions of higher education. One eligible institution will participate in this pilot program. The academic department that participates is required to use electronic or open-source textbooks, open educational resources, public domain material, or other free or low-cost textbooks or textbook alternatives for each course offered through the department, to the greatest extent possible.","Lois Kolkhorst, John Zerwas",Higher Ed,yes,no
2015,Virginia,Legislation,HB 2041,,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=hb2041&submit=GO,Left in House Appropriations - Dead,"A Bill to Amend the Code of Virginia relating to the Establishment of the Open Education Resources Innovation Council: The Open Education Resources Innovation Council is established for the purpose of identifying open education resources at all levels of education and uses for such resources and recommending specific policies and funding mechanisms for the increased use of open education resources in the Commonwealth. This Council is required to advise the Governor and General Assembly on open education policies that have the potential to reduce the cost of textbooks and educational materials in the Commonwealth while maintaining or adding value to the learning experience, and developing and maintaining a list of 50 digital open source textbooks, amongst other duties.",Eileen Filler-Corn,Both,yes,no
2015,Washington,Legislation,HB 1973,,http://app.leg.wa.gov/billinfo/summary.aspx?bill=1973&year=2015,"By resolution, reintroduced and retained in present status - Dead","An Act Relating to the Washington Open Education Pilot Program at Eastern Washington University: This bill establishes the Eastern Washington University open education pilot program, created to reduce student’s cost of attendance by creating an open educational resources program","Stambaugh, Bergquist, Hargrove, Haler, Zeiger, Van Werven, Magendanz, Kochmar, Muri, Gregerson, Parker, Riccelli",Higher Ed,yes,no
2015,Washington,Legislation,HB 2165,,http://app.leg.wa.gov/billsummary?BillNumber=2165&Year=2015,"By resolution, reintroduced and retained in present status - Dead","An Act Eliminating the use of Common Core State Standards and Assessments: This bill requires the superintendent of public instruction to identify and develop a library of openly licensed courseware aligned with the state standards - this would allow others to use, distribute, and create derivative works based upon the digital material, while still allowing the authors or creators to retain the copyright and to receive credit for their efforts. The open educational resources account will be created in the custody of the state treasurer.
","Scott, Haler, Shea, Vick, Short, Van Werven, Condotta, Wilson, Young, Orcutt, Kochmar, Schmick, Taylor, Harmsworth, Hunt, G., Griffey, Klippert, Buys, Parker, Holy, Pike, MacEwen",K-12,yes,no
